Dates,Whole_House_Consumption,Volts,Amps,Kitchen_Consumption,Laundry_Consumption,HVAC_WaterHeater_Consumption
1/1/2007,2721,240,8,0,271,338
1/2/2007,1560,240,5,116,297,754
1/3/2007,113,241,1,0,241,114
1/4/2007,2675,240,8,315,612,1113
1/5/2007,1477,235,5,258,499,518
1/6/2007,659,235,3,0,372,460
1/7/2007,866,240,3,105,621,275
1/8/2007,857,235,3,145,0,593
1/9/2007,1627,239,5,163,446,560
1/10/2007,1530,239,5,169,694,349
1/11/2007,114,241,1,0,213,115
1/12/2007,3054,240,9,510,256,1020
1/13/2007,3074,239,9,409,450,665
1/14/2007,2923,239,9,139,447,753
1/15/2007,2009,241,6,112,283,863
1/16/2007,1526,242,5,163,415,375
1/17/2007,2685,241,8,282,542,907
1/18/2007,1535,241,5,0,249,771
1/19/2007,1228,240,4,183,246,417
1/20/2007,3037,239,9,287,501,669
1/21/2007,3347,239,10,343,457,684
1/22/2007,2034,242,6,71,358,643
1/23/2007,1570,243,5,0,317,292
1/24/2007,2957,241,9,267,343,665
1/25/2007,1338,243,5,116,196,633
1/26/2007,1503,243,5,113,194,464
1/27/2007,1956,242,6,115,406,705
1/28/2007,2995,240,9,283,461,698
1/29/2007,1809,241,6,113,215,873
1/30/2007,1513,242,5,114,277,465
1/31/2007,2209,240,7,0,458,866
2/1/2007,1026,242,4,0,266,374
2/2/2007,1464,240,5,0,278,655
2/3/2007,112,241,1,0,259,112
2/4/2007,1692,240,6,138,450,951
2/5/2007,698,236,3,6,512,226
2/6/2007,1282,234,4,222,412,460
2/7/2007,704,241,3,109,777,196
2/8/2007,832,235,3,20,0,417
2/9/2007,1645,240,5,242,622,508
2/10/2007,2092,238,6,52,819,748
2/11/2007,1164,239,4,89,367,708
2/12/2007,2978,241,9,114,490,603
2/13/2007,1293,241,4,0,362,361
2/14/2007,2343,240,7,266,566,662
2/15/2007,1751,241,6,0,443,799
2/16/2007,1519,241,5,76,345,498
2/17/2007,1995,239,6,100,543,414
2/18/2007,3645,239,11,388,744,760
2/19/2007,1934,240,6,98,590,761
2/20/2007,3048,240,9,221,540,560
2/21/2007,1864,240,6,224,472,658
2/22/2007,3293,239,10,109,433,714
2/23/2007,1033,241,4,0,374,612
2/24/2007,341,240,2,0,278,205
2/25/2007,97,242,1,0,252,95
2/26/2007,166,241,2,0,253,162
2/27/2007,109,243,1,0,237,109
2/28/2007,111,242,1,0,259,113
3/1/2007,719,244,3,0,262,264
3/2/2007,3984,239,12,296,564,1027
3/3/2007,445,241,2,0,267,262
3/4/2007,1329,240,5,220,442,441
3/5/2007,819,235,3,136,535,467
3/6/2007,1922,235,6,287,745,506
3/7/2007,787,240,3,69,750,270
3/8/2007,851,234,3,108,0,554
3/9/2007,841,240,3,25,544,308
3/10/2007,1019,239,4,109,706,217
3/11/2007,115,240,1,0,204,112
3/12/2007,1496,241,5,76,218,593
3/13/2007,999,241,4,108,490,304
3/14/2007,1547,241,5,268,347,491
3/15/2007,1695,240,6,0,446,638
3/16/2007,1666,240,5,112,433,314
3/17/2007,1801,238,6,161,275,716
3/18/2007,2190,241,7,422,662,342
3/19/2007,1983,241,6,166,420,806
3/20/2007,1880,241,6,248,352,647
3/21/2007,1920,241,6,144,459,705
3/22/2007,1129,242,4,11,336,595
3/23/2007,1037,242,4,112,287,480
3/24/2007,2871,240,9,205,651,945
3/25/2007,3123,240,10,323,448,538
3/26/2007,1257,241,4,113,259,523
3/27/2007,796,241,3,0,372,214
3/28/2007,2185,240,7,115,634,796
3/29/2007,1272,241,5,115,356,617
3/30/2007,1140,241,4,112,376,475
3/31/2007,3412,239,10,179,765,1016
4/1/2007,3073,240,9,74,551,624
4/2/2007,3487,240,11,141,493,834
4/3/2007,1840,240,6,68,575,545
